"SULPHUR SPRINGS VALLEY ELECTRIC COOPERATIVE, INC",WILLCOX,AZ
VAN MARCKE TRADE SUPPLY OF TEXAS LLC,PHOENIX,AZ
LABORATORY SCIENCES OF ARIZONA L.L.C.,TEMPE,AZ
SONORA QUEST LABORATORIES LLC.,TEMPE,AZ
LEWIS ROCA ROTHGERBER CHRISTIE LLP,PHOENIX,AZ
"CTI, INC.",RILLITO,AZ
YAVAPAI REGIONAL MEDICAL CENTER EAST,PRESCOTT VALLEY,AZ
IT1 SOURCE LLC,TEMPE,AZ
"AVIATION COMMUNICATION & SURVEILLANCE SYSTEMS, LLC",PHOENIX,AZ
M3 ENGINEERING & TECHNOLOGY CORPORATION,TUCSON,AZ
"AMERICAN TRAFFIC SOLUTIONS, INC.",MESA,AZ
"VM CONSOLIDATED, INC.",MESA,AZ
"HOLSUM BAKERY, INC.",PHOENIX,AZ
YAVAPAI APACHE NATION,CAMP VERDE,AZ
SOUND PACKAGING LLC,CHANDLER,AZ
MOUNTAIN PARK HEALTH CENTER,PHOENIX,AZ
NAMMO DEFENSE SYSTEMS INC.,MESA,AZ
MITEK CORPORATION,PHOENIX,AZ
"ALLIED WASTE SERVICES OF NORTH AMERICA, LLC",PHOENIX,AZ
"SULPHUR SPRINGS VALLEY ELECTRIC COOPERATIVE, INC. CHARITABLE",SIERRA VISTA,AZ
"ABRAMS AIRBORNE MANUFACTURING, INC.",TUCSON,AZ
SWIFT RESOURCES CORPORATION,TUCSON,AZ
YOUNG ASSOCIATES INC,SEDONA,AZ
"ZUCRUM FOODS, L.L.C.",TUCSON,AZ
WICK NEWS CORPORATION,SIERRA VISTA,AZ
"SOUTHWEST CANNING & PACKAGING, INC.",TUCSON,AZ
"USA MANAGED HEALTH & WELLNESS RESOURCES GROUP, INC.",PHOENIX,AZ
"VISIONQUEST NATIONAL, LTD.",TUCSON,AZ
"AFS TECHNOLOGIES, INC.",PHOENIX,AZ
"SOLAR INDUSTRIES, INC.",TUCSON,AZ
NAUTILUS INSURANCE COMPANY INC,SCOTTSDALE,AZ
MOHAVE ELECTRIC CO-OPERATIVE INCORPORATED,BULLHEAD CITY,AZ
"GW PLASTICS TUCSON, INC.",TUCSON,AZ
"TESSENDERLO KERLEY, INC.",PHOENIX,AZ
"APOGEE MEDICAL GROUP, INC.",SCOTTSDALE,AZ
ERICKSON BUILDING COMPONENTS LLC,CHANDLER,AZ
"ESTENSON LOGISTICS, LLC",MESA,AZ
"ICA NORTHEAST, INC.",TUCSON,AZ
"NEXTMED HOLDINGS, LLC",TUCSON,AZ
ELECTRICAL DISTRICT NUMBER 3,MARICOPA,AZ
"WHOLESALE FLOORS, LLC",PHOENIX,AZ
WESTERN ALLIANCE EQUIPMENT FINANCE,PHOENIX,AZ
WESTERN REFINING PIPELINE,TEMPE,AZ
GHD INC.,PHOENIX,AZ
"SYNERGY SOLUTIONS, INC.",PHOENIX,AZ
"BRIGHT INTERNATIONAL, LLC",COOLIDGE,AZ
RINCON RESEARCH CORPORATION,TUCSON,AZ
"KITCHELL/CEM, INC.",PHOENIX,AZ
"SWIFT LEASING CO., LLC",PHOENIX,AZ
ALPINE VALLEY BREAD COMPANY,MESA,AZ
DONOR NETWORK OF ARIZONA,PHOENIX,AZ
"GILL GROUP, INC.",PHOENIX,AZ
KLONDYKE CONSTRUCTION LLC,PHOENIX,AZ
"VHS ACQUISITION SUBSIDIARY NUMBER 11, INC.",PHOENIX,AZ
AVNET ELECTRONICS MARKETING,PHOENIX,AZ
"TITAN SOLAR POWER CA, INC.",MESA,AZ
TEYMA USA & ABENER ENGINEERING AND CONSTRUCTION SERVICES PARTNERSHIP,PHOENIX,AZ
"INFORMEDRX, INC.",PHOENIX,AZ
"CANYON STATE OIL COMPANY, INC.",PHOENIX,AZ
UNITED DAIRYMEN OF ARIZONA,TEMPE,AZ
"EARLY WARNING SERVICES, LLC",SCOTTSDALE,AZ
"CENTAURI HEALTH SOLUTIONS, INC.",SCOTTSDALE,AZ
"SOUTHWEST BEHAVIORAL HEALTH SERVICES, INC.",PHOENIX,AZ
ARIZONA COMMUNITY PHYSICIANS PC,TUCSON,AZ
"LAWYERS TITLE OF ARIZONA, INC.",PHOENIX,AZ
"J.R. MCDADE CO., LLC",SCOTTSDALE,AZ
"LONGUST DISTRIBUTING, LLC",MESA,AZ
